绵阳电信4K,#genre#
CCTV4K,http://182.136.121.170:4022/rtp/239.93.4.16:7040
北京卫视4K,http://182.136.121.170:4022/rtp/239.93.5.111:8662
北京卫视4K,http://182.136.121.170:4022/rtp/239.93.5.59:7948
北京卫视4K,http://182.136.121.170:4022/rtp/239.93.4.58:7952
东方卫视4K,http://182.136.121.170:4022/rtp/239.93.5.231:8046
广东卫视4K,http://182.136.121.170:4022/rtp/239.93.4.20:7058
深圳卫视4K,http://182.136.121.170:4022/rtp/239.93.5.22:7068
湖南卫视4K,http://182.136.121.170:4022/rtp/239.93.5.17:7046
山东卫视4K,http://182.136.121.170:4022/rtp/239.93.5.232:8052
山东卫视4K,http://182.136.121.170:4022/rtp/239.93.5.235:8090
四川卫视4K,http://182.136.121.170:4022/rtp/239.93.4.18:7048
江苏卫视4K,http://182.136.121.170:4022/rtp/239.93.4.17:7042
欢笑剧场4K,http://182.136.121.170:4022/rtp/239.93.5.5:7000
BesTV‑4K,http://182.136.121.170:4022/rtp/239.93.5.18:7052
BesTV4K‑1,http://182.136.121.170:4022/rtp/239.93.4.19:7054
BesTV4K‑2,http://182.136.121.170:4022/rtp/239.93.4.165:9978
华数,http://182.136.121.170:4022/rtp/239.93.5.246:8106
华数4K,http://182.136.121.170:4022/rtp/239.93.4.252:8816
天翼4K,http://182.136.121.170:4022/rtp/239.93.5.15:7036
江苏宣传,http://182.136.121.170:4022/rtp/239.93.4.27:8170
睛彩亲子4K,http://182.136.121.170:4022/rtp/239.93.5.236:8094
睛彩绚影4K,http://182.136.121.170:4022/rtp/239.93.4.248:8800
央视HD,#genre#
CCTV1HD,http://182.136.121.170:4022/rtp/239.93.5.106:8630
CCTV1HD,http://182.136.121.170:4022/rtp/239.93.5.133:9260
CCTV2HD,http://182.136.121.170:4022/rtp/239.93.5.60:8354
CCTV2HD,http://182.136.121.170:4022/rtp/239.93.4.220:8440
CCTV3HD,http://182.136.121.170:4022/rtp/239.93.5.141:9320
CCTV4HD,http://182.136.121.170:4022/rtp/239.93.4.186:7728
CCTV5HD,http://182.136.121.170:4022/rtp/239.93.5.30:8004
CCTV5HD,http://182.136.121.170:4022/rtp/239.93.5.143:9332
CCTV5+HD,http://182.136.121.170:4022/rtp/239.93.5.78:8462
CCTV6HD,http://182.136.121.170:4022/rtp/239.93.5.144:9338
CCTV6HD,http://182.136.121.170:4022/rtp/239.93.4.30:8008
CCTV7HD,http://182.136.121.170:4022/rtp/239.93.5.64:8378
CCTV8HD,http://182.136.121.170:4022/rtp/239.93.5.145:9344
CCTV9HD,http://182.136.121.170:4022/rtp/239.93.5.61:8360
CCTV10HD,http://182.136.121.170:4022/rtp/239.93.5.65:8384
CCTV11HD,http://182.136.121.170:4022/rtp/239.93.5.129:7914
CCTV12HD,http://182.136.121.170:4022/rtp/239.93.5.68:8402
CCTV13HD,http://182.136.121.170:4022/rtp/239.93.4.210:8278
CCTV14HD,http://182.136.121.170:4022/rtp/239.93.5.69:8408
CCTV15HD,http://182.136.121.170:4022/rtp/239.93.5.131:7918
CCTV17HD,http://182.136.121.170:4022/rtp/239.93.5.154:7832
CETV1HD,http://182.136.121.170:4022/rtp/239.93.5.8:7812
CGTNHD,http://182.136.121.170:4022/rtp/239.93.4.206:8844
付费专题HD,#genre#
CHC影迷电影HD,http://182.136.121.170:4022/rtp/239.93.5.222:8880
CHC家庭影院HD,http://182.136.121.170:4022/rtp/239.93.5.220:8876
CHC动作电影HD,http://182.136.121.170:4022/rtp/239.93.5.224:8884
梨园频道HD,http://182.136.121.170:4022/rtp/239.93.5.249:9966
天元围棋HD,http://182.136.121.170:4022/rtp/239.93.5.214:8860
法治天地HD,http://182.136.121.170:4022/rtp/239.93.4.231:8674
游戏风云HD,http://182.136.121.170:4022/rtp/239.93.5.207:9714
金色学堂HD,http://182.136.121.170:4022/rtp/239.93.5.11:8060
金鹰纪实HD,http://182.136.121.170:4022/rtp/239.93.4.199:7740
环球旅游HD,http://182.136.121.170:4022/rtp/239.93.4.246:8792
快乐垂钓HD,http://182.136.121.170:4022/rtp/239.93.5.6:7010
生活时尚HD,http://182.136.121.170:4022/rtp/239.93.4.244:8784
中国交通HD,http://182.136.121.170:4022/rtp/239.93.4.174:7760
中国天气HD,http://182.136.121.170:4022/rtp/239.93.4.21:7062
优优宝贝HD,http://182.136.121.170:4022/rtp/239.93.4.56:7956
乐游HD,http://182.136.121.170:4022/rtp/239.93.5.1:8824
卫视频道HD,#genre#
重庆卫视HD,http://182.136.121.170:4022/rtp/239.93.5.48:8282
重庆卫视HD,http://182.136.121.170:4022/rtp/239.93.5.7:8024
江苏卫视HD,http://182.136.121.170:4022/rtp/239.93.5.194:9636
浙江卫视HD,http://182.136.121.170:4022/rtp/239.93.5.215:9762
东方卫视HD,http://182.136.121.170:4022/rtp/239.93.5.216:9768
深圳卫视HD,http://182.136.121.170:4022/rtp/239.93.5.139:9308
北京卫视HD,http://182.136.121.170:4022/rtp/239.93.5.137:9296
山东卫视HD,http://182.136.121.170:4022/rtp/239.93.5.126:8756
天津卫视HD,http://182.136.121.170:4022/rtp/239.93.5.125:8750
贵州卫视HD,http://182.136.121.170:4022/rtp/239.93.4.201:7744
四川卫视HD,http://182.136.121.170:4022/rtp/239.93.5.107:8636
云南卫视HD,http://182.136.121.170:4022/rtp/239.93.5.43:8252
广西卫视HD,http://182.136.121.170:4022/rtp/239.93.4.208:8266
黑龙江卫视HD,http://182.136.121.170:4022/rtp/239.93.5.140:9314
安徽卫视HD,http://182.136.121.170:4022/rtp/239.93.4.190:7974
江西卫视HD,http://182.136.121.170:4022/rtp/239.93.4.214:7748
湖北卫视HD,http://182.136.121.170:4022/rtp/239.93.5.128:7828
湖北卫视HD,http://182.136.121.170:4022/rtp/239.93.5.127:8762
陕西卫视HD,http://182.136.121.170:4022/rtp/239.93.5.185:9992
东南卫视HD,http://182.136.121.170:4022/rtp/239.93.4.89:7356
吉林卫视HD,http://182.136.121.170:4022/rtp/239.93.5.210:9732
吉林卫视HD,http://182.136.121.170:4022/rtp/239.93.5.221:9798
辽宁卫视HD,http://182.136.121.170:4022/rtp/239.93.5.191:7978
湖南卫视HD,http://182.136.121.170:4022/rtp/239.93.5.193:9630
广东卫视HD,http://182.136.121.170:4022/rtp/239.93.5.132:9254
河南卫视HD,http://182.136.121.170:4022/rtp/239.93.4.209:8270
河北卫视HD,http://182.136.121.170:4022/rtp/239.93.4.180:7752
宁夏卫视HD,http://182.136.121.170:4022/rtp/239.93.5.152:9386
甘肃卫视HD,http://182.136.121.170:4022/rtp/239.93.5.49:8288
新疆卫视HD,http://182.136.121.170:4022/rtp/239.93.5.53:8312
西藏卫视HD,http://182.136.121.170:4022/rtp/239.93.5.51:8300
兵团卫视HD,http://182.136.121.170:4022/rtp/239.93.4.254:7796
康巴卫视HD,http://182.136.121.170:4022/rtp/239.93.4.212:8344
延边卫视HD,http://182.136.121.170:4022/rtp/239.93.5.161:9456
凤凰系列HD,#genre#
凤凰中文HD,http://182.136.121.170:4022/rtp/239.93.5.31:8012
凤凰资讯HD,http://182.136.121.170:4022/rtp/239.93.5.118:8708
百视通专区HD,#genre#
东方财经HD,http://182.136.121.170:4022/rtp/239.93.5.223:9810
都市剧场HD,http://182.136.121.170:4022/rtp/239.93.4.245:8788
爱体育HD,http://182.136.121.170:4022/rtp/239.93.4.235:8690
求索记录HD,http://182.136.121.170:4022/rtp/239.93.5.240:8740
精彩影视HD,http://182.136.121.170:4022/rtp/239.93.5.234:8086
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.166:9468
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.176:9976
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.178:9540
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.192:9624
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.203:9690
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.204:9696
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.205:9702
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.225:8016
BesTVHD,http://182.136.121.170:4022/rtp/239.93.5.238:9900
BesTV‑1HD,http://182.136.121.170:4022/rtp/239.93.4.217:8416
BesTV‑3HD,http://182.136.121.170:4022/rtp/239.93.5.19:7056
BesTV‑LiveHD,http://182.136.121.170:4022/rtp/239.93.5.182:9404
BesTV少儿1HD,http://182.136.121.170:4022/rtp/239.93.5.196:9648
BesTV少儿2HD,http://182.136.121.170:4022/rtp/239.93.5.197:9654
Bestv‑XHD,http://182.136.121.170:4022/rtp/239.93.4.80:7304
央视网HD,#genre#
CCTV10网HD,http://182.136.121.170:4022/rtp/239.93.5.219:9786
CCTV11网HD,http://182.136.121.170:4022/rtp/239.93.5.243:9930
CCTV15网HD,http://182.136.121.170:4022/rtp/239.93.5.162:9438
CCTV1网HD,http://182.136.121.170:4022/rtp/239.93.5.155:7836
CCTV1网HD,http://182.136.121.170:4022/rtp/239.93.5.81:8480
CCTV2网HD,http://182.136.121.170:4022/rtp/239.93.5.14:8078
CCTV3网HD,http://182.136.121.170:4022/rtp/239.93.5.62:8366
CCTV5网1HD,http://182.136.121.170:4022/rtp/239.93.5.12:8066
CCTV7网HD,http://182.136.121.170:4022/rtp/239.93.5.250:9972
CGNT法语HD,http://182.136.121.170:4022/rtp/239.93.4.205:8836
CGNT西语HD,http://182.136.121.170:4022/rtp/239.93.4.204:8832
CNTVHD,http://182.136.121.170:4022/rtp/239.93.5.237:9894
专题栏目HD,#genre#
HO爱历史HD,http://182.136.121.170:4022/rtp/239.93.4.229:8592
九曲黄河HD,http://182.136.121.170:4022/rtp/239.93.5.213:8428
九画面,#genre#
九画面‑1HD,http://182.136.121.170:4022/rtp/239.93.4.49:7176
九画面‑2HD,http://182.136.121.170:4022/rtp/239.93.4.50:7180
九画面‑3HD,http://182.136.121.170:4022/rtp/239.93.4.51:7184
九画面‑4HD,http://182.136.121.170:4022/rtp/239.93.4.164:7658
九画面‑5HD,http://182.136.121.170:4022/rtp/239.93.4.167:7670
九画面‑6HD,http://182.136.121.170:4022/rtp/239.93.4.168:7674
九画面‑7HD,http://182.136.121.170:4022/rtp/239.93.4.169:7678
九画面‑8HD,http://182.136.121.170:4022/rtp/239.93.4.170:7682
九画面‑9HD,http://182.136.121.170:4022/rtp/239.93.4.171:7686
华数专区HD,#genre#
华数HD,http://182.136.121.170:4022/rtp/239.93.5.163:9444
华数HD,http://182.136.121.170:4022/rtp/239.93.5.164:9450
华数HD,http://182.136.121.170:4022/rtp/239.93.5.165:9974
华数HD,http://182.136.121.170:4022/rtp/239.93.5.244:9936
华数HD,http://182.136.121.170:4022/rtp/239.93.5.253:9990
四川本地HD,#genre#
SCTV‑7HD,http://182.136.121.170:4022/rtp/239.93.4.87:7348
四川乡村HD,http://182.136.121.170:4022/rtp/239.93.5.104:8618
四川乡村HD,http://182.136.121.170:4022/rtp/239.93.5.97:7820
四川宣传HD,http://182.136.121.170:4022/rtp/239.93.5.239:8098
四川宣传HD,http://182.136.121.170:4022/rtp/239.93.5.245:8102
四川宣传HD,http://182.136.121.170:4022/rtp/239.93.5.251:8114
四川峨眉HD,http://182.136.121.170:4022/rtp/239.93.5.116:8696
四川影视HD,http://182.136.121.170:4022/rtp/239.93.5.188:9600
四川文化HD,http://182.136.121.170:4022/rtp/239.93.5.110:8654
四川文化HD,http://182.136.121.170:4022/rtp/239.93.5.32:8186
四川文化HD,http://182.136.121.170:4022/rtp/239.93.5.41:8240
四川新闻HD,http://182.136.121.170:4022/rtp/239.93.4.179:7720
四川新闻HD,http://182.136.121.170:4022/rtp/239.93.5.109:8648
四川新闻HD,http://182.136.121.170:4022/rtp/239.93.5.99:8588
四川星空购物HD,http://182.136.121.170:4022/rtp/239.93.5.113:7824
四川科教HD,http://182.136.121.170:4022/rtp/239.93.5.209:8274
四川经济HD,http://182.136.121.170:4022/rtp/239.93.5.71:8420
四海钓鱼HD,http://182.136.121.170:4022/rtp/239.93.4.22:7066
天翼指南HD,http://182.136.121.170:4022/rtp/239.93.5.122:8732
巴中宣传HD,http://182.136.121.170:4022/rtp/239.93.4.211:8848
